WordForm,WF_PoS,length
天方夜谭,15,4
天马行空,15,4
如意算盘,15,4
如痴如醉,15,4
争分夺秒,15,4
朗朗上口,15,4
难言之隐,15,4
异口同声,15,4
恶性循环,15,4
模糊不清,15,4
毫不迟疑,15,4
浩瀚无垠,15,4
立足之地,15,4
言外之意,15,4
轻重缓急,15,4
长途汽车,15,4
一点一滴,14,4
不厌其烦,14,4
世世代代,14,4
丰功伟绩,14,4
争先恐后,14,4
出头之日,14,4
出神入化,14,4
天伦之乐,14,4
天文数字,14,4
天高地厚,14,4
三位一体,14,4
你来我往,14,4
咬牙切齿,14,4
诚惶诚恐,14,4
干脆利落,14,4
手足之情,14,4
日以继夜,14,4
杂七杂八,14,4
溢美之词,14,4
熠熠生辉,14,4
自然环境,14,4
至理名言,14,4
荷枪实弹,14,4
蓬荜生辉,14,4
重中之重,14,4
雕虫小技,14,4
高楼大厦,14,4
出租汽车,13,4
大快人心,13,4
天经地义,13,4
富丽堂皇,13,4
凡夫俗子,13,4
狂风暴雨,13,4
畅通无阻,13,4
心惊肉跳,13,4
心惊胆战,13,4
掌上明珠,13,4
无边无际,13,4
气喘吁吁,13,4
神经中枢,13,4
一马当先,12,4
不义之财,12,4
乌七八糟,12,4
五颜六色,12,4
先见之明,12,4
公子哥儿,12,4
兴致勃勃,12,4
凶神恶煞,12,4
各行各业,12,4
后顾之忧,12,4
喜怒哀乐,12,4
在天之灵,12,4
奇形怪状,12,4
妖魔鬼怪,12,4
五脏六腑,12,4
人山人海,12,4
十拿九稳,12,4
呼吸系统,12,4
花枝招展,12,4
心神不定,12,4
武装部队,12,4
照本宣科,12,4
画蛇添足,12,4
相互作用,12,4
经典之作,12,4
经济危机,12,4
美中不足,12,4
美若天仙,12,4
一丝一毫,11,4
久而久之,11,4
九霄云外,11,4
准确无误,11,4
单口相声,11,4
哈哈大笑,11,4
坐骨神经,11,4
奇装异服,11,4
千丝万缕,11,4
抽水马桶,11,4
数不胜数,11,4
穷乡僻壤,11,4
翻江倒海,11,4
衣食父母,11,4
进退维谷,11,4
首屈一指,11,4
弱不禁风,11,4
怪里怪气,11,4
晴天霹雳,11,4
正儿八经,11,4
海市蜃楼,11,4
满头大汗,11,4
物是人非,11,4
狐狸尾巴,11,4
自由体操,11,4
金科玉律,11,4
顺水推舟,11,4
魂飞魄散,11,4
一年到头,10,4
不一会儿,10,4
不三不四,10,4
专科学校,10,4
两栖动物,10,4
了无生趣,10,4
五花八门,10,4
人身自由,10,4
令人羡慕,10,4
前前后后,10,4
变幻莫测,10,4
地地道道,10,4
大千世界,10,4
大肠杆菌,10,4
大言不惭,10,4
头头是道,10,4
如火如荼,10,4
审时度势,10,4
家破人亡,10,4
巧舌如簧,10,4
异国他乡,10,4
三言两语,10,4
不假思索,10,4
嬉皮笑脸,10,4
瓢泼大雨,10,4
硕大无比,10,4
行云流水,10,4
违禁物品,10,4
惴惴不安,10,4
残羹剩饭,10,4
灵丹妙药,10,4
点点滴滴,10,4
特快专递,10,4
瞠目结舌,10,4
简明扼要,10,4
聚精会神,10,4
股份公司,10,4
芸芸众生,10,4
落荒而逃,10,4
血雨腥风,10,4
言简意赅,10,4
一盘散沙,9,4
三生有幸,9,4
严丝合缝,9,4
举手投足,9,4
井底之蛙,9,4
其乐融融,9,4
发达国家,9,4
只身一人,9,4
合成纤维,9,4
哭笑不得,9,4
喜忧参半,9,4
堂而皇之,9,4
字里行间,9,4
山穷水尽,9,4
必要条件,9,4
乔迁之喜,9,4
伶牙俐齿,9,4
前因后果,9,4
大手大脚,9,4
天罗地网,9,4
引经据典,9,4
没头没脑,9,4
缩手缩脚,9,4
推心置腹,9,4
救命之恩,9,4
昏天黑地,9,4
毕恭毕敬,9,4
流动资金,9,4
火眼金睛,9,4
瓮中之鳖,9,4
相互之间,9,4
粗制滥造,9,4
细枝末节,9,4
脑满肠肥,9,4
自动步枪,9,4
自古以来,9,4
身心健康,9,4
轩然大波,9,4
一年四季,8,4
一气之下,8,4
一言一行,8,4
不明不白,8,4
举国上下,8,4
古往今来,8,4
坚韧不拔,8,4
外交辞令,8,4
天时地利,8,4
奴隶制度,8,4
当头棒喝,8,4
心花怒放,8,4
惟妙惟肖,8,4
只言片语,8,4
家庭妇女,8,4
惊人之举,8,4
神来之笔,8,4
街头巷尾,8,4
轻手轻脚,8,4
风风火火,8,4
有机化学,8,4
有滋有味,8,4
有线电话,8,4
杯水车薪,8,4
气势汹汹,8,4
水上飞机,8,4
水泄不通,8,4
满盘皆输,8,4
炉火纯青,8,4
热情洋溢,8,4
爬行动物,8,4
生离死别,8,4
生长激素,8,4
等闲之辈,8,4
简洁明了,8,4
纸醉金迷,8,4
脊椎动物,8,4
花前月下,8,4
衣食住行,8,4
运动神经,8,4
酸甜苦辣,8,4
金玉良言,8,4
阳刚之气,8,4
阴阳怪气,8,4
一技之长,7,4
交感神经,7,4
人人自危,7,4
人仰马翻,7,4
令人感动,7,4
公用事业,7,4
分门别类,7,4
可乘之机,7,4
国家机器,7,4
大势所趋,7,4
大风大浪,7,4
彪形大汉,7,4
待人接物,7,4
一星半点,7,4
供电系统,7,4
十之八九,7,4
大队人马,7,4
斩钉截铁,7,4
更有甚者,7,4
汪洋大海,7,4
牙牙学语,7,4
看家本领,7,4
挖空心思,7,4
过街老鼠,7,4
是是非非,7,4
楚楚动人,7,4
治病救人,7,4
海枯石烂,7,4
犬马之劳,7,4
珠光宝气,7,4
神采飞扬,7,4
红光满面,7,4
肺腑之言,7,4
自由主义,7,4
荣华富贵,7,4
蓬头垢面,7,4
裙带关系,7,4
通宵达旦,7,4
风口浪尖,7,4
鬼斧神工,7,4
黄毛丫头,7,4
不白之冤,6,4
举重若轻,6,4
令人担忧,6,4
先知先觉,6,4
几何级数,6,4
动脉硬化,6,4
千头万绪,6,4
半生不熟,6,4
和平谈判,6,4
好人好事,6,4
妙语连珠,6,4
家家户户,6,4
家用电器,6,4
小本生意,6,4
延年益寿,6,4
弥足珍贵,6,4
弹无虚发,6,4
微量元素,6,4
情理之中,6,4
惊魂未定,6,4
慎之又慎,6,4
不痛不痒,6,4
丧家之犬,6,4
劈头盖脸,6,4
千刀万剐,6,4
大刀阔斧,6,4
惊弓之鸟,6,4
探头探脑,6,4
