 serial number,character,ferquency(pre million)
408,石,466.50605 
409,哈,463.31850 
410,夜,462.33500 
411,父,461.28460 
412,制,458.71654 
413,友,458.25666 
414,阿,456.86385 
415,息,455.36253 
416,冲,454.60291 
417,酒,454.21836 
418,保,452.90088 
419,片,452.50527 
420,形,452.42203 
421,阵,451.85891 
422,南,451.19885 
423,决,451.17040 
424,请,451.12194 
425,各,450.99182 
426,报,450.93335 
427,兴,450.29911 
428,阳,447.88276 
429,急,447.71472 
430,语,444.55720 
431,令,443.96615 
432,错,442.45745 
433,及,442.40372 
434,刘,439.88939 
435,极,438.57349 
436,识,435.59876 
437,备,433.83299 
438,慢,432.48443 
439,雪,432.16468 
440,苦,426.78308 
441,若,426.27579 
442,领,426.12355 
443,收,425.30336 
444,底,424.77447 
445,尽,424.35568 
446,准,424.33619 
447,华,421.66225 
448,答,419.79481 
449,众,419.66575 
450,千,418.77180 
451,消,417.65187 
452,视,414.77406 
453,罗,412.58739 
454,敢,412.13700 
455,留,410.18896 
456,克,409.79651 
457,乐,409.44567 
458,够,404.81527 
459,跑,404.19736 
460,显,402.10604 
461,嘴,401.43439 
462,官,400.56415 
463,断,400.24176 
464,未,399.80190 
465,势,398.51339 
466,句,397.35079 
467,求,395.00608 
468,计,393.73233 
469,论,392.00291 
470,达,390.75654 
471,则,390.28718 
472,害,389.94951 
473,八,389.83415 
474,单,389.24837 
475,久,388.48980 
476,脚,387.27347 
477,德,386.53861 
478,元,385.74317 
479,脑,383.79092 
480,楚,383.60391 
481,雨,382.33806 
482,睛,381.83709 
483,响,381.44095 
484,刀,381.08643 
485,确,380.46325 
486,玉,380.20565 
487,沉,378.48624 
488,北,378.24602 
489,格,377.07499 
490,停,376.93539 
491,陈,376.33434 
492,市,375.25338 
493,朝,373.90535 
494,喝,372.75433 
495,族,372.66847 
496,江,371.51377 
497,团,369.75959 
498,母,369.54782 
499,章,367.36063 
500,装,366.23964 
501,亮,365.33515 
502,客,365.01487 
503,照,364.88686 
504,乱,364.61241 
505,易,363.74217 
506,足,358.53073 
507,依,358.11141 
508,黄,357.56619 
509,修,357.55197 
510,破,356.89191 
511,台,356.61008 
512,球,354.93545 
513,呀,354.92649 
514,院,354.46766 
515,送,352.20145 
516,包,351.66993 
517,义,351.50189 
518,诉,351.41181 
519,攻,350.51734 
520,丝,348.36017 
521,围,347.26394 
522,玩,347.12645 
523,待,347.07166 
524,复,345.90748 
525,况,345.46761 
526,楼,344.84443 
